codmes|cliente|edad|ingreso|sexo|flgLimaProv|flgAfBxi|grupoGiro|monto|trx
201611|00032529|[3. <=35]|[2. <=1500]|M|1|1|prodsuper|19|3
201611|00029794|[1. <=25]|[1. <=700]|F|1|0|prodsuper|75|2
201612|00003856|[6. <=55]|[5. <=4500]|M|0|1|tiendadepar|798|1
201611|00033409|[1. <=25]|[2. <=1500]|M|1|1|prodsuper|10|1
201611|00031074|[1. <=25]|[1. <=700]|F|0|1|prodsuper|4|1
201611|00031157|[2. <=30]|[2. <=1500]|M|1|1|prodsuper|69|5
201611|00030531|[7. > 55]|[3. <=2500]|M|1|0|prodpersondiv|38|1
201611|00030724|[1. <=25]|[2. <=1500]|F|1|1|tiendadepar|12|1
201611|00031285|[1. <=25]|[3. <=2500]|F|0|1|prodsuper|73|2
201612|00000198|[7. > 55]|[4. <=3500]|F|1|0|tiendadepar|279|2
201612|00000388|[7. > 55]|[3. <=2500]|F|1|0|prodsuper|164|1
201611|00031477|[2. <=30]|[3. <=2500]|F|1|1|prodsuper|32|1
201611|00031868|[2. <=30]||F|0|1|tiendadepar|69|1
201611|00033956||||||prodsuper|95|2
201611|00034188|[1. <=25]||M|1|1|prodsuper|16|3
201612|00010217|[4. <=40]|[3. <=2500]|M|1|0|prodsuper|17|1
201611|00034802||||||prodsuper|6|1
201611|00034846|[1. <=25]||M|1|0|prodsuper|12|1
201612|00004781|[7. > 55]|[4. <=3500]|F|1|0|tiendadepar|21|1
201612|00004965|[6. <=55]|[6. <=6000]|F|1|1|prodsuper|303|2
201612|00009565|[5. <=45]|[3. <=2500]|M|1|0|prodsuper|33|2
201612|00009566|[3. <=35]|[2. <=1500]|M|0|1|prodsuper|17|1
201612|00010471|[2. <=30]|[3. <=2500]|F|1|1|prodsuper|19|1
201612|00000361||[5. <=4500]|F|1|1|prodsuper|260|2
201612|00000474|[7. > 55]|[5. <=4500]|M|1|1|prodpersondiv|288|1
201612|00013029|[5. <=45]|[3. <=2500]|F|1|1|prodsuper|38|3
201612|00013179|[3. <=35]|[8. > 8000]|M|0|1|prodsuper|39|1
201612|00006120|[6. <=55]|[2. <=1500]|M|1|1|prodsuper|124|6
201612|00019059|[3. <=35]|[2. <=1500]|F|1|1|tiendadepar|109|1
201612|00018613|[2. <=30]|[3. <=2500]|F|0|1|prodsuper|58|2
201612|00018656|[4. <=40]|[3. <=2500]|F|1|0|prodsuper|41|1
201612|00018771|[3. <=35]|[3. <=2500]|F|0|0|tiendadepar|118|2
201612|00029374|[2. <=30]||M|0|1|tiendadepar|99|1
201612|00029442|[1. <=25]|[2. <=1500]|F|1|0|prodsuper|167|3
201612|00029653|[1. <=25]|[3. <=2500]|M|1|1|prodsuper|54|1
201612|00031767|[1. <=25]||M|0|1|tiendadepar|337|3
201612|00031854|[5. <=45]|[2. <=1500]|F|1|1|tiendadepar|216|2
201612|00020263|[1. <=25]|[2. <=1500]|M|1|1|tiendadepar|64|1
201612|00020369|[2. <=30]|[3. <=2500]|M|0|1|prodsuper|64|10
201612|00031566|[1. <=25]|[1. <=700]|M|1|1|prodsuper|9|2
201612|00031854|[5. <=45]|[2. <=1500]|F|1|1|prodsuper|39|1
201611|00030311|[1. <=25]|[2. <=1500]|M|1|1|restbar|21|1
201611|00032973|[1. <=25]|[2. <=1500]|M|0|1|restbar|62|2
201611|00033333|[1. <=25]|[3. <=2500]|M|1|1|restbar|21|1
201611|00033598|[1. <=25]|[1. <=700]|F|1|1|restbar|5|1
201611|00030517|[2. <=30]|[2. <=1500]|F|1|1|restbar|24|1
201612|00000179||[5. <=4500]|M|1|1|restbar|76|2
201611|00031376|[1. <=25]|[2. <=1500]|M|1|1|restbar|25|1
201612|00018707|[2. <=30]|[4. <=3500]|M|1|1|restbar|39|1
201612|00019166|[3. <=35]|[3. <=2500]|F|0|0|restbar|49|1
201612|00013605|[3. <=35]|[3. <=2500]|F|1|1|restbar|29|1
201612|00008037|[4. <=40]|[3. <=2500]|F|1|0|restbar|30|2
201612|00008408|[5. <=45]|[2. <=1500]|M|1|0|restbar|7|1
201612|00018544|[1. <=25]|[4. <=3500]|M|1|1|restbar|65|3
201612|00029407|[5. <=45]||M|0|1|restbar|20|1
201612|00032045|[5. <=45]|[3. <=2500]|M|0|0|prodlocal|38|1
201612|00022717|[6. <=55]|[3. <=2500]|F|1|0|ropamoda|144|1
201612|00009463|[3. <=35]|[4. <=3500]|M|1|1|restbar|17|1
201612|00012893|[3. <=35]|[3. <=2500]|M|0|1|restbar|29|1
201701|00006199|[4. <=40]|[3. <=2500]|M|1|1|restbar|95|1
201612|00031791|[2. <=30]|[2. <=1500]|M|1|1|restbar|36|1
201612|00032035||||||restbar|79|1
201612|00021800|[2. <=30]|[6. <=6000]|M|1|1|restbar|35|1
201611|00034133||||||restbar|46|3
201612|00004372|[4. <=40]|[4. <=3500]|M|1|1|restbar|99|2
201611|00028114||||||restbar|14|1
201611|00031327|[6. <=55]|[2. <=1500]|F|0|1|ropamoda|12|1
201611|00032730|[4. <=40]|[2. <=1500]|F|0|1|restbar|12|1
201612|00029096|[3. <=35]|[6. <=6000]|F|0|1|restbar|40|1
201612|00029221|[1. <=25]||F|1|1|restbar|21|2
201701|00000787||[7. <=8000]|F|1|1|restbar|73|1
201701|00000798|[7. > 55]||M|1|0|prodlocal|63|1
201612|00027084|[2. <=30]|[3. <=2500]|F|1|1|restbar|13|1
201701|00008355|[4. <=40]|[3. <=2500]|M|1|1|restbar|44|1
201701|00026181|[1. <=25]|[2. <=1500]|F|1|1|restbar|97|3
201612|00033984|[1. <=25]|[2. <=1500]|F|0|1|restbar|5|1
201612|00022801|[1. <=25]|[2. <=1500]|M|1|1|restbar|110|2
201612|00023020|[1. <=25]|[2. <=1500]|M|0|1|restbar|25|1
201612|00030103|[2. <=30]||M|1|1|restbar|5|1
201612|00022149|[1. <=25]|[3. <=2500]|F|1|0|restbar|53|3
201612|00030157|[1. <=25]|[2. <=1500]|F|0|1|restbar|30|1
201612|00030206|[1. <=25]||M|1|1|restbar|9|1
201612|00018555|[2. <=30]|[2. <=1500]|F|0|1|restbar|8|1
201612|00027715|[4. <=40]|[3. <=2500]|M|1|1|restbar|51|3
201612|00032826|[2. <=30]||F|1|1|restbar|31|2
201612|00022390|[6. <=55]|[3. <=2500]|M|1|1|restbar|44|1
201612|00000362|[7. > 55]|[4. <=3500]|F|1|1|vehrep|200|2
201612|00000493|[6. <=55]|[6. <=6000]|M|1|1|restbar|149|1
201611|00033742|[1. <=25]|[1. <=700]|M|1|1|alqbienes|40|1
201611|00032542|[2. <=30]|[2. <=1500]|F|1|1|restbar|20|2
201611|00032832|[1. <=25]|[2. <=1500]|F|0|0|restbar|9|1
201611|00032856|[1. <=25]||F|1|1|restbar|46|1
201611|00032861||||||restbar|18|2
201611|00030261|[5. <=45]|[4. <=3500]|F|0|1|restbar|108|1
201612|00003629|[6. <=55]|[4. <=3500]|M|1|1|restbar|53|1
201612|00003871|[7. > 55]|[3. <=2500]|M|1|1|restbar|37|1
201611|00030755|[1. <=25]|[2. <=1500]|M|1|1|vehrep|20|1
201611|00030788|[2. <=30]|[4. <=3500]|M|1|1|vehrep|9|1
201611|00031050|[3. <=35]|[2. <=1500]|F|1|1|alqbienes|30|1
201611|00029982|[5. <=45]|[2. <=1500]|F|1|1|restbar|79|1
201612|00000296|[7. > 55]|[8. > 8000]|M|1|1|restbar|1|1
201611|00031633|[1. <=25]|[2. <=1500]|M|1|1|restbar|50|2
201612|00018006|[2. <=30]|[3. <=2500]|F|1|1|entretenimiento|75|2
201612|00018116|[2. <=30]|[2. <=1500]|F|0|1|restbar|8|1
201612|00018227|[2. <=30]|[3. <=2500]|F|1|1|restbar|77|2
201612|00019733|[2. <=30]|[2. <=1500]|M|1|1|restbar|131|4
201612|00018746|[6. <=55]|[4. <=3500]|M|1|1|restbar|257|3
201612|00019079|[4. <=40]|[7. <=8000]|M|0|1|vehrep|385|3
201612|00019344|[2. <=30]|[2. <=1500]|M|1|1|restbar|149|3
201612|00020301|[4. <=40]|[2. <=1500]|M|0|0|restbar|97|1
201612|00013099|[2. <=30]|[3. <=2500]|F|1|1|prodlocal|2|1
201612|00018408|[7. > 55]|[6. <=6000]|F|1|1|restbar|207|3
201612|00018561|[5. <=45]|[3. <=2500]|M|1|0|restbar|110|2
201612|00025618|[3. <=35]|[3. <=2500]|M|1|1|restbar|21|2
201612|00025733|[3. <=35]|[4. <=3500]|F|1|1|restbar|77|1
201612|00014516|[3. <=35]|[4. <=3500]|M|1|1|restbar|804|16
201612|00012265|[4. <=40]|[4. <=3500]|M|1|1|vehrep|13|1
201612|00022502|[2. <=30]|[2. <=1500]|F|1|1|restbar|9|1
201612|00022685|[3. <=35]|[7. <=8000]|F|1|1|restbar|94|1
201612|00022795|[1. <=25]|[2. <=1500]|F|1|1|restbar|30|1
201612|00000523|[7. > 55]|[6. <=6000]|M|1|0|prodlocal|473|2
201612|00003251|[6. <=55]|[5. <=4500]|M|1|0|restbar|70|1
201612|00000630|[7. > 55]|[4. <=3500]|M|1|1|restbar|46|1
201612|00008223|[7. > 55]|[4. <=3500]|F|1|0|restbar|49|1
201612|00008427|[4. <=40]|[3. <=2500]|M|0|1|vehrep|120|4
201612|00008563|[4. <=40]|[4. <=3500]|M|0|1|restbar|277|3
201612|00008819||||||hogaroficina|100|1
201612|00000659|[6. <=55]|[6. <=6000]|M|1|0|entretenimiento|61|1
201612|00013064|[4. <=40]|[3. <=2500]|M|1|1|prodlocal|19|1
201612|00013099|[2. <=30]|[3. <=2500]|F|1|1|restbar|103|3
201612|00032102|[5. <=45]||M|1|0|prodsuper|358|3
201612|00010967|[3. <=35]|[3. <=2500]|F|1|1|prodsuper|377|1
201612|00011157|[6. <=55]|[3. <=2500]|M|1|1|prodsuper|78|1
201612|00017501|[2. <=30]|[3. <=2500]|M|0|1|prodsuper|15|1
201611|00032623|[3. <=35]|[3. <=2500]|M|0|1|tiendadepar|61|3
201611|00029884|[1. <=25]|[2. <=1500]|M|1|1|prodsuper|98|1
201612|00003646|[5. <=45]|[2. <=1500]|F|1|1|prodsuper|11|2
201612|00003733|[7. > 55]|[3. <=2500]|M|1|0|prodsuper|246|1
201611|00033047||||||prodsuper|7|1
201611|00030679|[2. <=30]|[3. <=2500]|F|1|1|prodsuper|12|1
201611|00031095|[5. <=45]|[3. <=2500]|M|1|1|prodsuper|68|1
201611|00031541|[2. <=30]|[2. <=1500]|M|1|1|prodsuper|20|1
201611|00029668||||||tiendadepar|48|1
201611|00034002||||||prodsuper|47|1
201611|00034550|[3. <=35]|[3. <=2500]|M|1|1|profdiverso|60|1
201612|00013042||||||tiendadepar|460|2
201612|00013434|[3. <=35]|[7. <=8000]|F|1|1|tiendadepar|456|2
201612|00015079|[2. <=30]||F|1|1|prodsuper|25|2
